"filename", "language", "JSON", "HTML", "JavaScript", "PostCSS", "comment", "blank", "total"
"d:\Code\Project\hcmus-portal-tool\assets\data\categories.json", "JSON", 212, 0, 0, 0, 0, 0, 212
"d:\Code\Project\hcmus-portal-tool\css\Style.css", "PostCSS", 0, 0, 0, 3, 0, 0, 3
"d:\Code\Project\hcmus-portal-tool\index.html", "HTML", 0, -8, 0, 0, 20, -2, 10
"d:\Code\Project\hcmus-portal-tool\js\App.js", "JavaScript", 0, 0, -14158, 0, 14158, 0, 0
"d:\Code\Project\hcmus-portal-tool\js\Config.js", "JavaScript", 0, 0, 0, 0, -1, 0, -1
"d:\Code\Project\hcmus-portal-tool\js\Logic.js", "JavaScript", 0, 0, -33, 0, 0, 1, -32
"d:\Code\Project\hcmus-portal-tool\js\Main.js", "JavaScript", 0, 0, -48, 0, 2, -8, -54
"d:\Code\Project\hcmus-portal-tool\js\PortalHandler.js", "JavaScript", 0, 0, 2, 0, 1, 1, 4
"d:\Code\Project\hcmus-portal-tool\js\Utils.js", "JavaScript", 0, 0, -203, 0, -9, -22, -234
"d:\Code\Project\hcmus-portal-tool\js\render\Dashboard.js", "JavaScript", 0, 0, -64, 0, -7, -6, -77
"d:\Code\Project\hcmus-portal-tool\js\render\NewUI.js", "JavaScript", 0, 0, 241, 0, 30, 17, 288
"d:\Code\Project\hcmus-portal-tool\js\styleLog.js", "JavaScript", 0, 0, 24, 0, 8, 7, 39
"d:\Code\Project\hcmus-portal-tool\js\tkb\Course_db.json", "JSON", 32, 0, 0, 0, 0, 0, 32
"d:\Code\Project\hcmus-portal-tool\js\tkb\Recommender.js", "JavaScript", 0, 0, 8, 0, 15, 9, 32
"d:\Code\Project\hcmus-portal-tool\localstorage.json", "JSON", -3020, 0, 0, 0, 0, 1, -3019
"Total", "-", -2776, -8, -14231, 3, 14217, -2, -2797
